TableName,ColumnName,Title,Description,Required,DataType,DataTypeRange,UniqueValues
DTI.csv,participant_id,Study Subject ID,Study Subject ID,TRUE,String,,
DTI.csv,GUID,Subject ID,Global Unique ID (USUBJID),FALSE,String,,
DTI.csv,visit_name,Visit Name,"Visit name: M - in months, SC - screening visit, LOG - records without visit; #2 or #3 define repated records at the same visit or repeated visit",TRUE,String,,
DTI.csv,visit_month,Visit Month,"Numeric visit in months; for visits prior baseline -1, -2 is an order of screening visits",FALSE,Float,,
DTI.csv,dti_brain_tissue,DTI Regions of Interest,DTI Measure,TRUE,String,,
DTI.csv,dti_measure,DTI Regions of Interest,Brain tissue being measured,FALSE,String,,
DTI.csv,roi1_left_rostral,DTI Regions of Interest,Left Rostral,FALSE,Float, 0-1,
DTI.csv,roi2_left_middle,DTI Regions of Interest,Left Middle,FALSE,Float, 0-1,
DTI.csv,roi3_left_caudal,DTI Regions of Interest,Left Caudal,FALSE,Float, 0-1,
DTI.csv,roi4_right_rostral,DTI Regions of Interest,Right Rostral,FALSE,Float, 0-1,
DTI.csv,roi5_right_middle,DTI Regions of Interest,Right Middle,FALSE,Float, 0-1,
DTI.csv,roi6_right_caudal,DTI Regions of Interest,Right Caudal,FALSE,Float, 0-1,
DTI.csv,ref1_left_reference,DTI Regions of Interest,Left Reference,FALSE,Float, 0-1,
DTI.csv,ref2_right_reference,DTI Regions of Interest,Right Reference,FALSE,Float, 0-1,
