TableName,ColumnName,Title,Description,Required,DataType,DataTypeRange,UniqueValues
MDS_UPDRS_Part_IV.csv,participant_id,Study Subject ID,Study Subject ID,TRUE,String,,
MDS_UPDRS_Part_IV.csv,GUID,Subject ID,Global Unique ID (USUBJID),FALSE,String,,
MDS_UPDRS_Part_IV.csv,visit_name,Visit Name,"Visit name: M - in months, SC - screening visit, LOG - records without visit; #2 or #3 define repated records at the same visit or repeated visit",TRUE,String,,
MDS_UPDRS_Part_IV.csv,visit_month,Visit Month,"Numeric visit in months; for visits prior baseline -1, -2 is an order of screening visits",FALSE,Float,,
MDS_UPDRS_Part_IV.csv,code_upd2401_time_spent_with_dyskinesias,Movement Disorder Society Unified Parkinson's Disease Rating Scale Questionnaire (MDS-UPDRS),4.01 MDS-UPDRS - Time Spent With Dyskinesias (UPD2401),FALSE,Integer,0 - 4,
MDS_UPDRS_Part_IV.csv,code_upd2402_functional_impact_of_dyskinesias,Movement Disorder Society Unified Parkinson's Disease Rating Scale Questionnaire (MDS-UPDRS),4.02 MDS-UPDRS - Functional Impact Of Dyskinesias (UPD2402),FALSE,Integer,0 - 4,
MDS_UPDRS_Part_IV.csv,code_upd2403_time_spent_in_the_off_state,Movement Disorder Society Unified Parkinson's Disease Rating Scale Questionnaire (MDS-UPDRS),4.03 MDS-UPDRS - Time Spent In The Off State (UPD2403),FALSE,Integer,0 - 4,
MDS_UPDRS_Part_IV.csv,code_upd2404_functional_impact_of_fluctuations,Movement Disorder Society Unified Parkinson's Disease Rating Scale Questionnaire (MDS-UPDRS),4.04 MDS-UPDRS - Functional Impact Of Fluctuations (UPD2404),FALSE,Integer,0 - 4,
MDS_UPDRS_Part_IV.csv,code_upd2405_complexity_of_motor_fluctuations,Movement Disorder Society Unified Parkinson's Disease Rating Scale Questionnaire (MDS-UPDRS),4.05 MDS-UPDRS - Complexity Of Motor Fluctuations (UPD2405),FALSE,Integer,0 - 4,
MDS_UPDRS_Part_IV.csv,code_upd2406_painful_off_state_dystonia,Movement Disorder Society Unified Parkinson's Disease Rating Scale Questionnaire (MDS-UPDRS),4.06 MDS-UPDRS - Painful Off-State Dystonia (UPD2406),FALSE,Integer,0 - 4,
MDS_UPDRS_Part_IV.csv,upd2401_time_spent_with_dyskinesias,Movement Disorder Society Unified Parkinson's Disease Rating Scale Questionnaire (MDS-UPDRS),4.01 MDS-UPDRS - Time Spent With Dyskinesias (UPD2401),FALSE,Enumeration,,Normal;Slight;Mild;Moderate;Severe
MDS_UPDRS_Part_IV.csv,upd2402_functional_impact_of_dyskinesias,Movement Disorder Society Unified Parkinson's Disease Rating Scale Questionnaire (MDS-UPDRS),4.02 MDS-UPDRS - Functional Impact Of Dyskinesias (UPD2402),FALSE,Enumeration,,Normal;Slight;Mild;Moderate;Severe
MDS_UPDRS_Part_IV.csv,upd2403_time_spent_in_the_off_state,Movement Disorder Society Unified Parkinson's Disease Rating Scale Questionnaire (MDS-UPDRS),4.03 MDS-UPDRS - Time Spent In The Off State (UPD2403),FALSE,Enumeration,,Normal;Slight;Mild;Moderate;Severe
MDS_UPDRS_Part_IV.csv,upd2404_functional_impact_of_fluctuations,Movement Disorder Society Unified Parkinson's Disease Rating Scale Questionnaire (MDS-UPDRS),4.04 MDS-UPDRS - Functional Impact Of Fluctuations (UPD2404),FALSE,Enumeration,,Normal;Slight;Mild;Moderate;Severe
MDS_UPDRS_Part_IV.csv,upd2405_complexity_of_motor_fluctuations,Movement Disorder Society Unified Parkinson's Disease Rating Scale Questionnaire (MDS-UPDRS),4.05 MDS-UPDRS - Complexity Of Motor Fluctuations (UPD2405),FALSE,Enumeration,,Normal;Slight;Mild;Moderate;Severe
MDS_UPDRS_Part_IV.csv,upd2406_painful_off_state_dystonia,Movement Disorder Society Unified Parkinson's Disease Rating Scale Questionnaire (MDS-UPDRS),4.06 MDS-UPDRS - Painful Off-State Dystonia (UPD2406),FALSE,Enumeration,,Normal;Slight;Mild;Moderate;Severe
MDS_UPDRS_Part_IV.csv,mds_updrs_part_iv_summary_score,Movement Disorder Society Unified Parkinson's Disease Rating Scale Questionnaire (MDS-UPDRS),MDS-UPDRS Part IV Summary Score,FALSE,Integer,0 - 24,
