TableName,ColumnName,Title,Description,Required,DataType,DataTypeRange,UniqueValues
PDQ_39.csv,participant_id,Study Subject ID,Study Subject ID,TRUE,String,,
PDQ_39.csv,GUID,Subject ID,Global Unique ID (USUBJID),FALSE,String,,
PDQ_39.csv,visit_name,Visit Name,"Visit name: M - in months, SC - screening visit, LOG - records without visit; #2 or #3 define repated records at the same visit or repeated visit",TRUE,String,,
PDQ_39.csv,visit_month,Visit Month,"Numeric visit in months; for visits prior baseline -1, -2 is an order of screening visits",FALSE,Float,,
PDQ_39.csv,pdq39_01_doing_leisure_activity,Parkinson's Disease Questionnaire (PDQ-39),PDQ-39-Q1: Had difficulty doing the leisure activities you would like to do?,FALSE,Enumeration,,Never;Occasionally;Often;Sometimes;Always or cannot do at all
PDQ_39.csv,pdq39_02_looking_after_home,Parkinson's Disease Questionnaire (PDQ-39),"PDQ-39-Q2: Had difficulty looking after your home, for example, housework, cooking or yardwork?",FALSE,Enumeration,,Never;Occasionally;Often;Sometimes;Always or cannot do at all
PDQ_39.csv,pdq39_03_carrying_shopping_bags,Parkinson's Disease Questionnaire (PDQ-39),PDQ-39-Q3: Had difficulty carrying grocery bags?,FALSE,Enumeration,,Never;Occasionally;Often;Sometimes;Always or cannot do at all
PDQ_39.csv,pdq39_04_walking_half_mile,Parkinson's Disease Questionnaire (PDQ-39),PDQ-39-Q4: Had problems walking half a mile?,FALSE,Enumeration,,Never;Occasionally;Often;Sometimes;Always or cannot do at all
PDQ_39.csv,pdq39_05_walking_100_yards,Parkinson's Disease Questionnaire (PDQ-39),PDQ-39-Q5: Had problems walking 100 yards (approximately 1 block)?,FALSE,Enumeration,,Never;Occasionally;Often;Sometimes;Always or cannot do at all
PDQ_39.csv,pdq39_06_getting_around_house,Parkinson's Disease Questionnaire (PDQ-39),PDQ-39-Q6: Had problems getting around the house as easily as you would like?,FALSE,Enumeration,,Never;Occasionally;Often;Sometimes;Always or cannot do at all
PDQ_39.csv,pdq39_07_getting_around_in_public,Parkinson's Disease Questionnaire (PDQ-39),PDQ-39-Q7: Had difficulty getting around in public places?,FALSE,Enumeration,,Never;Occasionally;Often;Sometimes;Always or cannot do at all
PDQ_39.csv,pdq39_08_need_someone_to_accompany,Parkinson's Disease Questionnaire (PDQ-39),PDQ-39-Q8: Needed someone else to accompany you when you went out?,FALSE,Enumeration,,Never;Occasionally;Often;Sometimes;Always or cannot do at all
PDQ_39.csv,pdq39_09_worried_about_falling,Parkinson's Disease Questionnaire (PDQ-39),PDQ-39-Q9: Felt frightened or worried about falling in public?,FALSE,Enumeration,,Never;Occasionally;Often;Sometimes;Always or cannot do at all
PDQ_39.csv,pdq39_10_confined_to_house,Parkinson's Disease Questionnaire (PDQ-39),PDQ-39-Q10: Been confined to the house more than you would like?,FALSE,Enumeration,,Never;Occasionally;Often;Sometimes;Always or cannot do at all
PDQ_39.csv,pdq39_11_showering,Parkinson's Disease Questionnaire (PDQ-39),PDQ-39-Q11: Had difficulty showering and bathing?,FALSE,Enumeration,,Never;Occasionally;Often;Sometimes;Always or cannot do at all
PDQ_39.csv,pdq39_12_dressing,Parkinson's Disease Questionnaire (PDQ-39),PDQ-39-Q12: Had difficulty dressing?,FALSE,Enumeration,,Never;Occasionally;Often;Sometimes;Always or cannot do at all
PDQ_39.csv,pdq39_13_buttons_and_shoelaces,Parkinson's Disease Questionnaire (PDQ-39),PDQ-39-Q13: Had difficulty with buttons or shoelaces?,FALSE,Enumeration,,Never;Occasionally;Often;Sometimes;Always or cannot do at all
PDQ_39.csv,pdq39_14_writing,Parkinson's Disease Questionnaire (PDQ-39),PDQ-39-Q14: Had problems writing clearly?,FALSE,Enumeration,,Never;Occasionally;Often;Sometimes;Always or cannot do at all
PDQ_39.csv,pdq39_15_cutting_food,Parkinson's Disease Questionnaire (PDQ-39),PDQ-39-Q15: Had difficulty cutting up your food?,FALSE,Enumeration,,Never;Occasionally;Often;Sometimes;Always or cannot do at all
PDQ_39.csv,pdq39_16_spill_drink,Parkinson's Disease Questionnaire (PDQ-39),PDQ-39-Q16: Had difficulty holding a drink without spilling it?,FALSE,Enumeration,,Never;Occasionally;Often;Sometimes;Always or cannot do at all
PDQ_39.csv,pdq39_17_depressed,Parkinson's Disease Questionnaire (PDQ-39),PDQ-39-Q17: Felt depressed?,FALSE,Enumeration,,Never;Occasionally;Often;Sometimes;Always or cannot do at all
PDQ_39.csv,pdq39_18_lonely,Parkinson's Disease Questionnaire (PDQ-39),PDQ-39-Q18: Felt isolated and lonely?,FALSE,Enumeration,,Never;Occasionally;Often;Sometimes;Always or cannot do at all
PDQ_39.csv,pdq39_19_weepy,Parkinson's Disease Questionnaire (PDQ-39),PDQ-39-Q19: Felt weepy or tearful?,FALSE,Enumeration,,Never;Occasionally;Often;Sometimes;Always or cannot do at all
PDQ_39.csv,pdq39_20_angry,Parkinson's Disease Questionnaire (PDQ-39),PDQ-39-Q20: Felt angry or bitter?,FALSE,Enumeration,,Never;Occasionally;Often;Sometimes;Always or cannot do at all
PDQ_39.csv,pdq39_21_anxious,Parkinson's Disease Questionnaire (PDQ-39),PDQ-39-Q21: Felt anxious?,FALSE,Enumeration,,Never;Occasionally;Often;Sometimes;Always or cannot do at all
PDQ_39.csv,pdq39_22_worried_about_future,Parkinson's Disease Questionnaire (PDQ-39),PDQ-39-Q22: Felt worried about your future?,FALSE,Enumeration,,Never;Occasionally;Often;Sometimes;Always or cannot do at all
PDQ_39.csv,pdq39_23_hide_pd_from_people,Parkinson's Disease Questionnaire (PDQ-39),PDQ-39-Q23: Felt you had to hide your Parkinson's from people?,FALSE,Enumeration,,Never;Occasionally;Often;Sometimes;Always or cannot do at all
PDQ_39.csv,pdq39_24_avoid_eat_drink_in_public,Parkinson's Disease Questionnaire (PDQ-39),PDQ-39-Q24: Avoided situations which involve eating or drinking in public?,FALSE,Enumeration,,Never;Occasionally;Often;Sometimes;Always or cannot do at all
