TableName,ColumnName,Title,Description,Required,DataType,DataTypeRange,UniqueValues
MDS_UPDRS_Part_II.csv,participant_id,Study Subject ID,Study Subject ID,TRUE,String,,
MDS_UPDRS_Part_II.csv,GUID,Subject ID,Global Unique ID (USUBJID),FALSE,String,,
MDS_UPDRS_Part_II.csv,visit_name,Visit Name,"Visit name: M - in months, SC - screening visit, LOG - records without visit; #2 or #3 define repated records at the same visit or repeated visit",TRUE,String,,
MDS_UPDRS_Part_II.csv,visit_month,Visit Month,"Numeric visit in months; for visits prior baseline -1, -2 is an order of screening visits",FALSE,Float,,
MDS_UPDRS_Part_II.csv,mds_updrs_part_ii_primary_info_source,Movement Disorder Society Unified Parkinson's Disease Rating Scale Questionnaire (MDS-UPDRS),MDS-UPDRS Part II Primary Source Of Information,FALSE,Enumeration,,Patient;Patient and Caregiver - Equal Proportion;Caregiver
MDS_UPDRS_Part_II.csv,code_upd2201_speech,Movement Disorder Society Unified Parkinson's Disease Rating Scale Questionnaire (MDS-UPDRS),2.01 MDS-UPDRS - Speech (UPD2201),FALSE,Integer,0 - 4,
MDS_UPDRS_Part_II.csv,code_upd2202_saliva_and_drooling,Movement Disorder Society Unified Parkinson's Disease Rating Scale Questionnaire (MDS-UPDRS),2.02 MDS-UPDRS - Saliva And Drooling (UPD2202),FALSE,Integer,0 - 4,
MDS_UPDRS_Part_II.csv,code_upd2203_chewing_and_swallowing,Movement Disorder Society Unified Parkinson's Disease Rating Scale Questionnaire (MDS-UPDRS),2.03 MDS-UPDRS - Chewing And Swallowing (UPD2203),FALSE,Integer,0 - 4,
MDS_UPDRS_Part_II.csv,code_upd2204_eating_tasks,Movement Disorder Society Unified Parkinson's Disease Rating Scale Questionnaire (MDS-UPDRS),2.04 MDS-UPDRS - Eating Tasks (UPD2204),FALSE,Integer,0 - 4,
MDS_UPDRS_Part_II.csv,code_upd2205_dressing,Movement Disorder Society Unified Parkinson's Disease Rating Scale Questionnaire (MDS-UPDRS),2.05 MDS-UPDRS - Dressing (UPD2205),FALSE,Integer,0 - 4,
MDS_UPDRS_Part_II.csv,code_upd2206_hygiene,Movement Disorder Society Unified Parkinson's Disease Rating Scale Questionnaire (MDS-UPDRS),2.06 MDS-UPDRS - Hygiene (UPD2206),FALSE,Integer,0 - 4,
MDS_UPDRS_Part_II.csv,code_upd2207_handwriting,Movement Disorder Society Unified Parkinson's Disease Rating Scale Questionnaire (MDS-UPDRS),2.07 MDS-UPDRS - Handwriting (UPD2207),FALSE,Integer,0 - 4,
MDS_UPDRS_Part_II.csv,code_upd2208_doing_hobbies_and_other_activities,Movement Disorder Society Unified Parkinson's Disease Rating Scale Questionnaire (MDS-UPDRS),2.08 MDS-UPDRS - Doing Hobbies And Other Activities (UPD2208),FALSE,Integer,0 - 4,
MDS_UPDRS_Part_II.csv,code_upd2209_turning_in_bed,Movement Disorder Society Unified Parkinson's Disease Rating Scale Questionnaire (MDS-UPDRS),2.09 MDS-UPDRS - Turning In Bed (UPD2209),FALSE,Integer,0 - 4,
MDS_UPDRS_Part_II.csv,code_upd2210_tremor,Movement Disorder Society Unified Parkinson's Disease Rating Scale Questionnaire (MDS-UPDRS),2.10 MDS-UPDRS - Tremor (UPD2210),FALSE,Integer,0 - 4,
MDS_UPDRS_Part_II.csv,code_upd2211_get_out_of_bed_car_or_deep_chair,Movement Disorder Society Unified Parkinson's Disease Rating Scale Questionnaire (MDS-UPDRS),"2.11 MDS-UPDRS - Get Out Of Bed, Car, Or Deep Chair (UPD2211)",FALSE,Integer,0 - 4,
MDS_UPDRS_Part_II.csv,code_upd2212_walking_and_balance,Movement Disorder Society Unified Parkinson's Disease Rating Scale Questionnaire (MDS-UPDRS),2.12 MDS-UPDRS - Walking And Balance (UPD2212),FALSE,Integer,0 - 4,
MDS_UPDRS_Part_II.csv,code_upd2213_freezing,Movement Disorder Society Unified Parkinson's Disease Rating Scale Questionnaire (MDS-UPDRS),2.13 MDS-UPDRS - Freezing (UPD2213),FALSE,Integer,0 - 4,
MDS_UPDRS_Part_II.csv,upd2201_speech,Movement Disorder Society Unified Parkinson's Disease Rating Scale Questionnaire (MDS-UPDRS),2.01 MDS-UPDRS - Speech (UPD2201),FALSE,Enumeration,,Normal;Slight;Mild;Moderate;Severe
MDS_UPDRS_Part_II.csv,upd2202_saliva_and_drooling,Movement Disorder Society Unified Parkinson's Disease Rating Scale Questionnaire (MDS-UPDRS),2.02 MDS-UPDRS - Saliva And Drooling (UPD2202),FALSE,Enumeration,,Normal;Slight;Mild;Moderate;Severe
MDS_UPDRS_Part_II.csv,upd2203_chewing_and_swallowing,Movement Disorder Society Unified Parkinson's Disease Rating Scale Questionnaire (MDS-UPDRS),2.03 MDS-UPDRS - Chewing And Swallowing (UPD2203),FALSE,Enumeration,,Normal;Slight;Mild;Moderate;Severe
MDS_UPDRS_Part_II.csv,upd2204_eating_tasks,Movement Disorder Society Unified Parkinson's Disease Rating Scale Questionnaire (MDS-UPDRS),2.04 MDS-UPDRS - Eating Tasks (UPD2204),FALSE,Enumeration,,Normal;Slight;Mild;Moderate;Severe
MDS_UPDRS_Part_II.csv,upd2205_dressing,Movement Disorder Society Unified Parkinson's Disease Rating Scale Questionnaire (MDS-UPDRS),2.05 MDS-UPDRS - Dressing (UPD2205),FALSE,Enumeration,,Normal;Slight;Mild;Moderate;Severe
MDS_UPDRS_Part_II.csv,upd2206_hygiene,Movement Disorder Society Unified Parkinson's Disease Rating Scale Questionnaire (MDS-UPDRS),2.06 MDS-UPDRS - Hygiene (UPD2206),FALSE,Enumeration,,Normal;Slight;Mild;Moderate;Severe
MDS_UPDRS_Part_II.csv,upd2207_handwriting,Movement Disorder Society Unified Parkinson's Disease Rating Scale Questionnaire (MDS-UPDRS),2.07 MDS-UPDRS - Handwriting (UPD2207),FALSE,Enumeration,,Normal;Slight;Mild;Moderate;Severe
MDS_UPDRS_Part_II.csv,upd2208_doing_hobbies_and_other_activities,Movement Disorder Society Unified Parkinson's Disease Rating Scale Questionnaire (MDS-UPDRS),2.08 MDS-UPDRS - Doing Hobbies And Other Activities (UPD2208),FALSE,Enumeration,,Normal;Slight;Mild;Moderate;Severe
MDS_UPDRS_Part_II.csv,upd2209_turning_in_bed,Movement Disorder Society Unified Parkinson's Disease Rating Scale Questionnaire (MDS-UPDRS),2.09 MDS-UPDRS - Turning In Bed (UPD2209),FALSE,Enumeration,,Normal;Slight;Mild;Moderate;Severe
MDS_UPDRS_Part_II.csv,upd2210_tremor,Movement Disorder Society Unified Parkinson's Disease Rating Scale Questionnaire (MDS-UPDRS),2.10 MDS-UPDRS - Tremor (UPD2210),FALSE,Enumeration,,Normal;Slight;Mild;Moderate;Severe
MDS_UPDRS_Part_II.csv,upd2211_get_out_of_bed_car_or_deep_chair,Movement Disorder Society Unified Parkinson's Disease Rating Scale Questionnaire (MDS-UPDRS),"2.11 MDS-UPDRS - Get Out Of Bed, Car, Or Deep Chair (UPD2211)",FALSE,Enumeration,,Normal;Slight;Mild;Moderate;Severe
MDS_UPDRS_Part_II.csv,upd2212_walking_and_balance,Movement Disorder Society Unified Parkinson's Disease Rating Scale Questionnaire (MDS-UPDRS),2.12 MDS-UPDRS - Walking And Balance (UPD2212),FALSE,Enumeration,,Normal;Slight;Mild;Moderate;Severe
MDS_UPDRS_Part_II.csv,upd2213_freezing,Movement Disorder Society Unified Parkinson's Disease Rating Scale Questionnaire (MDS-UPDRS),2.13 MDS-UPDRS - Freezing (UPD2213),FALSE,Enumeration,,Normal;Slight;Mild;Moderate;Severe
MDS_UPDRS_Part_II.csv,mds_updrs_part_ii_summary_score,Movement Disorder Society Unified Parkinson's Disease Rating Scale Questionnaire (MDS-UPDRS),MDS-UPDRS Part II Summary Score,FALSE,Integer,0 - 52,
