TableName,ColumnName,Title,Description,Required,DataType,DataTypeRange,UniqueValues
MDS_UPDRS_Part_III.csv,participant_id,Study Subject ID,Study Subject ID,TRUE,String,,
MDS_UPDRS_Part_III.csv,GUID,Subject ID,Global Unique ID (USUBJID),FALSE,String,,
MDS_UPDRS_Part_III.csv,visit_name,Visit Name,"Visit name: M - in months, SC - screening visit, LOG - records without visit; #2 or #3 define repated records at the same visit or repeated visit",TRUE,String,,
MDS_UPDRS_Part_III.csv,visit_month,Visit Month,"Numeric visit in months; for visits prior baseline -1, -2 is an order of screening visits",FALSE,Float,,
MDS_UPDRS_Part_III.csv,code_upd2301_speech_problems,Movement Disorder Society Unified Parkinson's Disease Rating Scale Questionnaire (MDS-UPDRS),3.01 MDS-UPDRS - Speech Problems (UPD2301),FALSE,Integer,0 - 4,
MDS_UPDRS_Part_III.csv,code_upd2302_facial_expression,Movement Disorder Society Unified Parkinson's Disease Rating Scale Questionnaire (MDS-UPDRS),3.02 MDS-UPDRS - Facial Expression (UPD2302),FALSE,Integer,0 - 4,
MDS_UPDRS_Part_III.csv,code_upd2303a_rigidity_neck,Movement Disorder Society Unified Parkinson's Disease Rating Scale Questionnaire (MDS-UPDRS),3.03a MDS-UPDRS - Rigidity Neck (UPD2303A),FALSE,Integer,0 - 4,
MDS_UPDRS_Part_III.csv,code_upd2303b_rigidity_rt_upper_extremity,Movement Disorder Society Unified Parkinson's Disease Rating Scale Questionnaire (MDS-UPDRS),3.03b MDS-UPDRS - Rigidity Right Upper Extremity (UPD2303B),FALSE,Integer,0 - 4,
MDS_UPDRS_Part_III.csv,code_upd2303c_rigidity_left_upper_extremity,Movement Disorder Society Unified Parkinson's Disease Rating Scale Questionnaire (MDS-UPDRS),3.03c MDS-UPDRS - Rigidity Left Upper Extremity (UPD2303C),FALSE,Integer,0 - 4,
MDS_UPDRS_Part_III.csv,code_upd2303d_rigidity_rt_lower_extremity,Movement Disorder Society Unified Parkinson's Disease Rating Scale Questionnaire (MDS-UPDRS),3.03e MDS-UPDRS - Rigidity Left Lower Extremity,FALSE,Integer,0 - 4,
MDS_UPDRS_Part_III.csv,code_upd2303e_rigidity_left_lower_extremity,Movement Disorder Society Unified Parkinson's Disease Rating Scale Questionnaire (MDS-UPDRS),3.03e MDS-UPDRS - Rigidity Left Lower Extremity (UPD2303E),FALSE,Integer,0 - 4,
MDS_UPDRS_Part_III.csv,code_upd2304a_right_finger_tapping,Movement Disorder Society Unified Parkinson's Disease Rating Scale Questionnaire (MDS-UPDRS),3.04a MDS-UPDRS - Right Finger Tapping (UPD2304A),FALSE,Integer,0 - 4,
MDS_UPDRS_Part_III.csv,code_upd2304b_left_finger_tapping,Movement Disorder Society Unified Parkinson's Disease Rating Scale Questionnaire (MDS-UPDRS),3.04b MDS-UPDRS - Left Finger Tapping (UPD2304B),FALSE,Integer,0 - 4,
MDS_UPDRS_Part_III.csv,code_upd2305a_right_hand_movements,Movement Disorder Society Unified Parkinson's Disease Rating Scale Questionnaire (MDS-UPDRS),3.05a MDS-UPDRS - Right Hand Movements (UPD2305A),FALSE,Integer,0 - 4,
MDS_UPDRS_Part_III.csv,code_upd2305b_left_hand_movements,Movement Disorder Society Unified Parkinson's Disease Rating Scale Questionnaire (MDS-UPDRS),3.05b MDS-UPDRS - Left Hand Movements (UPD2305B),FALSE,Integer,0 - 4,
MDS_UPDRS_Part_III.csv,code_upd2306a_pron_sup_movement_right_hand,Movement Disorder Society Unified Parkinson's Disease Rating Scale Questionnaire (MDS-UPDRS),3.06a MDS-UPDRS - Pronanation-Supination Movement Of Right Hand (UPD2306A),FALSE,Integer,0 - 4,
MDS_UPDRS_Part_III.csv,code_upd2306b_pron_sup_movement_left_hand,Movement Disorder Society Unified Parkinson's Disease Rating Scale Questionnaire (MDS-UPDRS),3.06b MDS-UPDRS - Pronanation-Supination Movement Of Left Hand (UPD2306B),FALSE,Integer,0 - 4,
MDS_UPDRS_Part_III.csv,code_upd2307a_right_toe_tapping,Movement Disorder Society Unified Parkinson's Disease Rating Scale Questionnaire (MDS-UPDRS),3.07a MDS-UPDRS - Right Toe Tapping (UPD2307A),FALSE,Integer,0 - 4,
MDS_UPDRS_Part_III.csv,code_upd2307b_left_toe_tapping,Movement Disorder Society Unified Parkinson's Disease Rating Scale Questionnaire (MDS-UPDRS),3.07b MDS-UPDRS - Left Toe Tapping (UPD2307B),FALSE,Integer,0 - 4,
MDS_UPDRS_Part_III.csv,code_upd2308a_right_leg_agility,Movement Disorder Society Unified Parkinson's Disease Rating Scale Questionnaire (MDS-UPDRS),3.08a MDS-UPDRS - Right Leg Agility (UPD2308A),FALSE,Integer,0 - 4,
