TableName,ColumnName,Title,Description,Required,DataType,DataTypeRange,UniqueValues
Epworth_Sleepiness_Scale.csv,participant_id,Study Subject ID,Study Subject ID,TRUE,String,,
Epworth_Sleepiness_Scale.csv,GUID,Subject ID,Global Unique ID (USUBJID),FALSE,String,,
Epworth_Sleepiness_Scale.csv,visit_name,Visit Name,"Visit name: M - in months, SC - screening visit, LOG - records without visit; #2 or #3 define repated records at the same visit or repeated visit",TRUE,String,,
Epworth_Sleepiness_Scale.csv,visit_month,Visit Month,"Numeric visit in months; for visits prior baseline -1, -2 is an order of screening visits",FALSE,Float,,
Epworth_Sleepiness_Scale.csv,ess_info_source,Epworth Sleepiness Scale (ESS),ESS - Primary Source Of Information,FALSE,Enumeration,,Patient;Patient and Caregiver;Caregiver
Epworth_Sleepiness_Scale.csv,code_ess0101_sitting_and_reading,Epworth Sleepiness Scale (ESS),ESS - Sitting And Reading (ESS0101),FALSE,Integer,0 - 3,
Epworth_Sleepiness_Scale.csv,code_ess0102_watching_tv,Epworth Sleepiness Scale (ESS),ESS - Watching TV (ESS0102),FALSE,Integer,0 - 3,
Epworth_Sleepiness_Scale.csv,code_ess0103_sitting_inactive_in_public_place,Epworth Sleepiness Scale (ESS),"ESS - Sitting, Inactive In A Public Place (ESS0103)",FALSE,Integer,0 - 3,
Epworth_Sleepiness_Scale.csv,code_ess0104_passenger_in_car_for_hour,Epworth Sleepiness Scale (ESS),ESS - As A Passenger In A Car For An Hour Without A Break (ESS0104),FALSE,Integer,0 - 3,
Epworth_Sleepiness_Scale.csv,code_ess0105_lying_down_to_rest_in_afternoon,Epworth Sleepiness Scale (ESS),ESS - Lying Down To Rest In The Afternoon When Circumstances Permit (ESS0105),FALSE,Integer,0 - 3,
Epworth_Sleepiness_Scale.csv,code_ess0106_sitting_and_talking_to_someone,Epworth Sleepiness Scale (ESS),ESS - Sitting And Talking To Someone (ESS0106),FALSE,Integer,0 - 3,
Epworth_Sleepiness_Scale.csv,code_ess0107_sitting_after_lunch,Epworth Sleepiness Scale (ESS),ESS - Sitting Quietly After A Lunch Without Alcohol (ESS0107),FALSE,Integer,0 - 3,
Epworth_Sleepiness_Scale.csv,code_ess0108_car_stopped_in_traffic,Epworth Sleepiness Scale (ESS),"ESS - In A Car, While Stopped For A Few Minutes In The Traffic (ESS0108)",FALSE,Integer,0 - 3,
Epworth_Sleepiness_Scale.csv,ess0101_sitting_and_reading,Epworth Sleepiness Scale (ESS),ESS - Sitting And Reading (ESS0101),FALSE,Enumeration,,Would Never Doze;Slight Chance Of Dozing;Moderate Chance Of Dozing;High Chance Of Dozing
Epworth_Sleepiness_Scale.csv,ess0102_watching_tv,Epworth Sleepiness Scale (ESS),ESS - Watching TV (ESS0102),FALSE,Enumeration,,Would Never Doze;Slight Chance Of Dozing;Moderate Chance Of Dozing;High Chance Of Dozing
Epworth_Sleepiness_Scale.csv,ess0103_sitting_inactive_in_public_place,Epworth Sleepiness Scale (ESS),"ESS - Sitting, Inactive In A Public Place (ESS0103)",FALSE,Enumeration,,Would Never Doze;Slight Chance Of Dozing;Moderate Chance Of Dozing;High Chance Of Dozing
Epworth_Sleepiness_Scale.csv,ess0104_passenger_in_car_for_hour,Epworth Sleepiness Scale (ESS),ESS - As A Passenger In A Car For An Hour Without A Break (ESS0104),FALSE,Enumeration,,Would Never Doze;Slight Chance Of Dozing;Moderate Chance Of Dozing;High Chance Of Dozing
Epworth_Sleepiness_Scale.csv,ess0105_lying_down_to_rest_in_afternoon,Epworth Sleepiness Scale (ESS),ESS - Lying Down To Rest In The Afternoon When Circumstances Permit (ESS0105),FALSE,Enumeration,,Would Never Doze;Slight Chance Of Dozing;Moderate Chance Of Dozing;High Chance Of Dozing
Epworth_Sleepiness_Scale.csv,ess0106_sitting_and_talking_to_someone,Epworth Sleepiness Scale (ESS),ESS - Sitting And Talking To Someone (ESS0106),FALSE,Enumeration,,Would Never Doze;Slight Chance Of Dozing;Moderate Chance Of Dozing;High Chance Of Dozing
Epworth_Sleepiness_Scale.csv,ess0107_sitting_after_lunch,Epworth Sleepiness Scale (ESS),ESS - Sitting Quietly After A Lunch Without Alcohol (ESS0107),FALSE,Enumeration,,Would Never Doze;Slight Chance Of Dozing;Moderate Chance Of Dozing;High Chance Of Dozing
Epworth_Sleepiness_Scale.csv,ess0108_car_stopped_in_traffic,Epworth Sleepiness Scale (ESS),"ESS - In A Car, While Stopped For A Few Minutes In The Traffic (ESS0108)",FALSE,Enumeration,,Would Never Doze;Slight Chance Of Dozing;Moderate Chance Of Dozing;High Chance Of Dozing
Epworth_Sleepiness_Scale.csv,ess_summary_score,Epworth Sleepiness Scale (ESS),Epworth Sleepiness Scale (ESS) - Total Score,FALSE,Integer,0 - 24,
