TableName,ColumnName,Title,Description,Required,DataType,DataTypeRange,UniqueValues
LBD_Cohort_Clinical_Data.csv,participant_id,Study Subject ID,Study Subject ID,TRUE,String,,
LBD_Cohort_Clinical_Data.csv,GUID,Subject ID,Global Unique ID (USUBJID),FALSE,String,,
LBD_Cohort_Clinical_Data.csv,visit_name,Visit Name,"Visit name: M - in months, SC - screening visit, LOG - records without visit; #2 or #3 define repated records at the same visit or repeated visit",TRUE,String,,
LBD_Cohort_Clinical_Data.csv,visit_month,Visit Month,"Numeric visit in months; for visits prior baseline -1, -2 is an order of screening visits",FALSE,Float,,
LBD_Cohort_Clinical_Data.csv,pres_symptom,Presenting symptom,Presenting symptom,FALSE,Enumeration,,Cognitive symptoms; Motor symptoms; Both cognitive and motor symptoms; Psychiatric (depression/anxiety/psychosis); NA
LBD_Cohort_Clinical_Data.csv,fluc_cogn,Fluctuating cognition,Fluctuating cognition,FALSE,Enumeration,,Yes; No; NA
LBD_Cohort_Clinical_Data.csv,vis_halluc,Visual hallucinations,Recurrent visual hallucinations,FALSE,Enumeration,,Yes; No; NA
LBD_Cohort_Clinical_Data.csv,rbd,REM-sleep behavior disorder,REM-sleep behavior disorder (per history or polysomnogram),FALSE,Enumeration,,Yes; No; NA
LBD_Cohort_Clinical_Data.csv,parkinsonism,Parkinsonism,Parkinsonism on clinical examination,FALSE,Enumeration,,Yes; No; NA
LBD_Cohort_Clinical_Data.csv,neurolep_sens,Neuroleptic sensitivity,Neuroleptic sensitivity,FALSE,Enumeration,,Yes; No; NA
LBD_Cohort_Clinical_Data.csv,psychosis,Psychotic thought disorder,Psychotic thought disorder,FALSE,Enumeration,,Yes; No; NA
LBD_Cohort_Clinical_Data.csv,mood_dis,Mood disorder,Mood disorder (depression and/or anxiety),FALSE,Enumeration,,Yes; No; NA
LBD_Cohort_Clinical_Data.csv,auton_dys,Severe dysautonomia,"Severe dysautonomia (e.g. constipation requiring medications, urinary incontinence, orthostatic hypotension, anhidrosis)",FALSE,Enumeration,,Yes; No; NA
LBD_Cohort_Clinical_Data.csv,dat,Dopamine transporter scan result,Dopamine transporter scan result,FALSE,Enumeration,,Positive; Negative; NA
LBD_Cohort_Clinical_Data.csv,spect_pet_perf,SPECT or PET perfusion scan,SPECT or PET perfusion scan showing occipital hypometabolism,FALSE,Enumeration,,Yes; No; NA
LBD_Cohort_Clinical_Data.csv,exec_dys,Executive dysfunction,"Executive dysfunction, such as bradyphrenia, set shifting impairment, impaired attention/planning",FALSE,Enumeration,,Yes; No; NA
LBD_Cohort_Clinical_Data.csv,memory_loss,Memory loss,Memory loss,FALSE,Enumeration,,Yes; No; NA
LBD_Cohort_Clinical_Data.csv,mmse,MMSE,Last MMSE,FALSE,String,,[0-30]; NA
LBD_Cohort_Clinical_Data.csv,anosmia,Anosmia,Anosmia (per history or smell test),FALSE,Enumeration,,Yes; No; NA
LBD_Cohort_Clinical_Data.csv,smell_detail,UPSIT 40 smell test score,UPSIT 40 smell test score,FALSE,String,,[0-40]; NA
LBD_Cohort_Clinical_Data.csv,genetic,Other genetic data,Other genetic data available on patient,FALSE,Enumeration,,Exome; SNP chip; Other; NA
