TableName,ColumnName,Title,Description,Required,DataType,DataTypeRange,UniqueValues
MMSE.csv,participant_id,Study Subject ID,Study Subject ID,TRUE,String,,
MMSE.csv,GUID,Subject ID,Global Unique ID (USUBJID),FALSE,String,,
MMSE.csv,visit_name,Visit Name,"Visit name: M - in months, SC - screening visit, LOG - records without visit; #2 or #3 define repated records at the same visit or repeated visit",TRUE,String,,
MMSE.csv,visit_month,Visit Month,"Numeric visit in months; for visits prior baseline -1, -2 is an order of screening visits",FALSE,Float,,
MMSE.csv,code_mms101a_year,Mini-Mental State Examination (MMSE),MMSE - What Is The Year (MMS101A),FALSE,Integer,0 - 1,
MMSE.csv,code_mms101b_season,Mini-Mental State Examination (MMSE),MMSE - What Is The Season (MMS101B),FALSE,Integer,0 - 1,
MMSE.csv,code_mms101c_month,Mini-Mental State Examination (MMSE),MMSE - What Is The Month Of Year (MMS101C),FALSE,Integer,0 - 1,
MMSE.csv,code_mms101d_day,Mini-Mental State Examination (MMSE),MMSE - What Is the Day of Week (MMS101D),FALSE,Integer,0 - 1,
MMSE.csv,code_mms101e_date,Mini-Mental State Examination (MMSE),MMSE - What Is The Date (MMS101E),FALSE,Integer,0 - 1,
MMSE.csv,code_mms102a_state,Mini-Mental State Examination (MMSE),MMSE - What Is The State (MMS102A),FALSE,Integer,0 - 1,
MMSE.csv,code_mms102b_county,Mini-Mental State Examination (MMSE),MMSE - What Is The County (MMS102B),FALSE,Integer,0 - 1,
MMSE.csv,code_mms102c_city,Mini-Mental State Examination (MMSE),MMSE - What Is The City Or Town (MMS102C),FALSE,Integer,0 - 1,
MMSE.csv,code_mms102d_address,Mini-Mental State Examination (MMSE),MMSE - What Is The Building (MMS102D),FALSE,Integer,0 - 1,
MMSE.csv,code_mms102e_floor,Mini-Mental State Examination (MMSE),MMSE - What Is The Floor (MMS102E),FALSE,Integer,0 - 1,
MMSE.csv,mms103_repeat_objects_score,Mini-Mental State Examination (MMSE),"MMSE - Repeat Three Unrelated Objects Score: MMSE - Repeat Word 1 (MMS103A), MMSE - Repeat Word 2 (103B), MMSE - Repeat Word 3 (103C) (1 point for each correct answer)",FALSE,Integer,0 - 3,
MMSE.csv,mms104_attention_calculat_score,Mini-Mental State Examination (MMSE),MMSE - Attention and Calculation Subtotal (MMS104),FALSE,Integer,0 - 5,
MMSE.csv,mms105_recall_score,Mini-Mental State Examination (MMSE),"MMSE - Recall Score - Repeat Three Unrelated Objects Again: MMSE - Recall Word 1 (MMS105A), MMSE - Recall Word 2 (MMS105B), MMSE - Recall Word 3 (MMS105C)",FALSE,Integer,0 - 3,
MMSE.csv,mms106_naming_object_score,Mini-Mental State Examination (MMSE),"MMSE - Naming Object 1 (MMS106A), MMSE - Naming Object 2 (MMS106B)",FALSE,Integer,0 - 2,
MMSE.csv,mms107_repeat_phrase_score,Mini-Mental State Examination (MMSE),MMSE - Repeat What I Say (MMS107),FALSE,Integer,0 - 1,
MMSE.csv,mms108b_fold_in_half_score,Mini-Mental State Examination (MMSE),MMSE - Fold In Half (MMS108B),FALSE,Integer,0 - 3,
MMSE.csv,mms109_close_eyes_score,Mini-Mental State Examination (MMSE),MMSE - Read This And Do What It Says (MMS109),FALSE,Integer,0 - 3,
MMSE.csv,mms110_sentence_score,Mini-Mental State Examination (MMSE),MMSE - Write A Sentence (MMS110),FALSE,Integer,0 - 1,
MMSE.csv,mms111_copy_design_score,Mini-Mental State Examination (MMSE),MMSE - Copy This Design (MMS111),FALSE,Integer,0 - 1,
MMSE.csv,mms101a_year,Mini-Mental State Examination (MMSE),MMSE - What Is The Year (MMS101A),FALSE,Enumeration,,Correct;Incorrect
MMSE.csv,mms101b_season,Mini-Mental State Examination (MMSE),MMSE - What Is The Season (MMS101B),FALSE,Enumeration,,Correct;Incorrect
MMSE.csv,mms101c_month,Mini-Mental State Examination (MMSE),MMSE - What Is The Month Of Year (MMS101C),FALSE,Enumeration,,Correct;Incorrect
MMSE.csv,mms101d_day,Mini-Mental State Examination (MMSE),MMSE - What Is the Day of Week (MMS101D),FALSE,Enumeration,,Correct;Incorrect
MMSE.csv,mms101e_date,Mini-Mental State Examination (MMSE),MMSE - What Is The Date (MMS101E),FALSE,Enumeration,,Correct;Incorrect
MMSE.csv,mms102a_state,Mini-Mental State Examination (MMSE),MMSE - What Is The State (MMS102A),FALSE,Enumeration,,Correct;Incorrect
MMSE.csv,mms102b_county,Mini-Mental State Examination (MMSE),MMSE - What Is The County (MMS102B),FALSE,Enumeration,,Correct;Incorrect
MMSE.csv,mms102c_city,Mini-Mental State Examination (MMSE),MMSE - What Is The City Or Town (MMS102C),FALSE,Enumeration,,Correct;Incorrect
MMSE.csv,mms102d_address,Mini-Mental State Examination (MMSE),MMSE - What Is The Building (MMS102D),FALSE,Enumeration,,Correct;Incorrect
MMSE.csv,mms102e_floor,Mini-Mental State Examination (MMSE),MMSE - What Is The Floor (MMS102E),FALSE,Enumeration,,Correct;Incorrect
MMSE.csv,mms112_total_score,Mini-Mental State Examination (MMSE),MMSE - Total Score (MMS112),FALSE,Integer,13 - 30,
