,updrs_1,updrs_2,updrs_3,average_importance
Greater than 16 years,228,130,194,184.0
Less than 12 years,29,15,16,20.0
Other_education_level_years,0,0,0,0.0
Unknown,14,31,46,30.333333333333332
caff_drinks_ever_used_regularly,10,4,11,8.333333333333334
caff_drinks_current_use,29,21,25,25.0
visit_month,1480,860,2601,1647.0
age_at_baseline,1225,2370,2119,1904.6666666666667
biological_mother_with_pd,53,923,64,346.6666666666667
biological_father_with_pd,63,63,113,79.66666666666667
other_relative_with_pd,105,106,64,91.66666666666667
roi1_left_rostral_Eigenvalue1,274,112,183,189.66666666666666
roi1_left_rostral_Eigenvalue2,151,77,175,134.33333333333334
roi1_left_rostral_Eigenvalue3,156,82,168,135.33333333333334
roi1_left_rostral_Fractional Anisotropy,198,109,220,175.66666666666666
roi2_left_middle_Eigenvalue1,179,84,179,147.33333333333334
roi2_left_middle_Eigenvalue2,145,66,149,120.0
roi2_left_middle_Eigenvalue3,167,84,122,124.33333333333333
roi2_left_middle_Fractional Anisotropy,223,116,246,195.0
roi3_left_caudal_Eigenvalue1,216,127,145,162.66666666666666
roi3_left_caudal_Eigenvalue2,164,126,162,150.66666666666666
roi3_left_caudal_Eigenvalue3,157,122,125,134.66666666666666
roi3_left_caudal_Fractional Anisotropy,258,97,183,179.33333333333334
roi4_right_rostral_Eigenvalue1,183,126,156,155.0
roi4_right_rostral_Eigenvalue2,202,87,1002,430.3333333333333
roi4_right_rostral_Eigenvalue3,175,118,129,140.66666666666666
roi4_right_rostral_Fractional Anisotropy,242,102,157,167.0
roi5_right_middle_Eigenvalue1,236,96,124,152.0
roi5_right_middle_Eigenvalue2,206,146,136,162.66666666666666
roi5_right_middle_Eigenvalue3,142,72,116,110.0
roi5_right_middle_Fractional Anisotropy,277,971,189,479.0
roi6_right_caudal_Eigenvalue1,235,106,163,168.0
roi6_right_caudal_Eigenvalue2,223,104,182,169.66666666666666
roi6_right_caudal_Eigenvalue3,204,72,157,144.33333333333334
roi6_right_caudal_Fractional Anisotropy,226,153,284,221.0
ref1_left_reference_Eigenvalue1,368,206,283,285.6666666666667
ref1_left_reference_Eigenvalue2,253,95,1002,450.0
ref1_left_reference_Eigenvalue3,209,135,176,173.33333333333334
ref1_left_reference_Fractional Anisotropy,204,68,133,135.0
ref2_right_reference_Eigenvalue1,356,162,204,240.66666666666666
ref2_right_reference_Eigenvalue2,250,109,201,186.66666666666666
ref2_right_reference_Eigenvalue3,250,111,221,194.0
ref2_right_reference_Fractional Anisotropy,174,159,176,169.66666666666666
updrs_1_lag_1,1801,1721,1146,1556.0
updrs_2_lag_1,1184,1922,839,1315.0
updrs_3_lag_1,1944,2524,2627,2365.0
sbr_caudate_r_lag_1,513,297,473,427.6666666666667
sbr_caudate_l_lag_1,445,268,431,381.3333333333333
sbr_putamen_r_lag_1,445,256,364,355.0
sbr_putamen_l_lag_1,561,262,342,388.3333333333333
updrs_1_lag_2,1268,2530,784,1527.3333333333333
updrs_2_lag_2,1057,1851,696,1201.3333333333333
updrs_3_lag_2,1606,1030,2386,1674.0
sbr_caudate_r_lag_2,511,247,428,395.3333333333333
sbr_caudate_l_lag_2,544,374,393,437.0
sbr_putamen_r_lag_2,460,261,409,376.6666666666667
sbr_putamen_l_lag_2,489,319,397,401.6666666666667
updrs_1_lag_3,1266,1657,642,1188.3333333333333
updrs_2_lag_3,953,2525,1491,1656.3333333333333
updrs_3_lag_3,1471,1735,2014,1740.0
sbr_caudate_r_lag_3,915,299,459,557.6666666666666
sbr_caudate_l_lag_3,854,410,438,567.3333333333334
sbr_putamen_r_lag_3,753,283,357,464.3333333333333
sbr_putamen_l_lag_3,821,306,383,503.3333333333333
