TableName,ColumnName,Title,Description,Required,DataType,DataTypeRange,UniqueValues
MDS_UPDRS_Part_I.csv,participant_id,Study Subject ID,Study Subject ID,TRUE,String,,
MDS_UPDRS_Part_I.csv,GUID,Subject ID,Global Unique ID (USUBJID),FALSE,String,,
MDS_UPDRS_Part_I.csv,visit_name,Visit Name,"Visit name: M - in months, SC - screening visit, LOG - records without visit; #2 or #3 define repated records at the same visit or repeated visit",TRUE,String,,
MDS_UPDRS_Part_I.csv,visit_month,Visit Month,"Numeric visit in months; for visits prior baseline -1, -2 is an order of screening visits",FALSE,Float,,
MDS_UPDRS_Part_I.csv,mds_updrs_part_i_primary_info_source,Movement Disorder Society Unified Parkinson's Disease Rating Scale Questionnaire (MDS-UPDRS),MDS-UPDRS Part I Questions 1-6 Primary Source Of Information,FALSE,Enumeration,,Patient;Patient and Caregiver - Equal Proportion;Caregiver
MDS_UPDRS_Part_I.csv,code_upd2101_cognitive_impairment,Movement Disorder Society Unified Parkinson's Disease Rating Scale Questionnaire (MDS-UPDRS),1.01 MDS-UPDRS - Cognitive Impairment (UPD2101),FALSE,Integer,0 - 4,
MDS_UPDRS_Part_I.csv,code_upd2102_hallucinations_and_psychosis,Movement Disorder Society Unified Parkinson's Disease Rating Scale Questionnaire (MDS-UPDRS),1.02 MDS-UPDRS - Hallucinations and Psychosis (UPD2102),FALSE,Integer,0 - 4,
MDS_UPDRS_Part_I.csv,code_upd2103_depressed_mood,Movement Disorder Society Unified Parkinson's Disease Rating Scale Questionnaire (MDS-UPDRS),1.03 MDS-UPDRS - Depressed Mood (UPD2103),FALSE,Integer,0 - 4,
MDS_UPDRS_Part_I.csv,code_upd2104_anxious_mood,Movement Disorder Society Unified Parkinson's Disease Rating Scale Questionnaire (MDS-UPDRS),1.04 MDS-UPDRS - Anxious Mood (UPD2104),FALSE,Integer,0 - 4,
MDS_UPDRS_Part_I.csv,code_upd2105_apathy,Movement Disorder Society Unified Parkinson's Disease Rating Scale Questionnaire (MDS-UPDRS),1.05 MDS-UPDRS - Apathy (UPD2105),FALSE,Integer,0 - 4,
MDS_UPDRS_Part_I.csv,code_upd2106_dopamine_dysregulation_syndrome_features,Movement Disorder Society Unified Parkinson's Disease Rating Scale Questionnaire (MDS-UPDRS),1.06 MDS-UPDRS - Features of Dopamine Dysregulation Syndrome (UPD2106),FALSE,Integer,0 - 4,
MDS_UPDRS_Part_I.csv,upd2101_cognitive_impairment,Movement Disorder Society Unified Parkinson's Disease Rating Scale Questionnaire (MDS-UPDRS),1.01 MDS-UPDRS - Cognitive Impairment (UPD2101),FALSE,Enumeration,,Normal;Slight;Mild;Moderate;Severe
MDS_UPDRS_Part_I.csv,upd2102_hallucinations_and_psychosis,Movement Disorder Society Unified Parkinson's Disease Rating Scale Questionnaire (MDS-UPDRS),1.02 MDS-UPDRS - Hallucinations and Psychosis (UPD2102),FALSE,Enumeration,,Normal;Slight;Mild;Moderate;Severe
