TableName,ColumnName,Title,Description,Required,DataType,DataTypeRange,UniqueValues
MOCA.csv,participant_id,Study Subject ID,Study Subject ID,TRUE,String,,
MOCA.csv,GUID,Subject ID,Global Unique ID (USUBJID),FALSE,String,,
MOCA.csv,visit_name,Visit Name,"Visit name: M - in months, SC - screening visit, LOG - records without visit; #2 or #3 define repated records at the same visit or repeated visit",TRUE,String,,
MOCA.csv,visit_month,Visit Month,"Numeric visit in months; for visits prior baseline -1, -2 is an order of screening visits",FALSE,Float,,
MOCA.csv,moca01_alternating_trail_making,Montreal Cognitive Assessment Functional Test (MOCA),MOCA: 01. Alternating Trail Making,FALSE,Integer,0 - 1,
MOCA.csv,moca02_visuoconstr_skills_cube,Montreal Cognitive Assessment Functional Test (MOCA),MOCA: 02. Visuoconstructional Skills - Copy Cube,FALSE,Integer,0 - 1,
MOCA.csv,moca03_visuoconstr_skills_clock_cont,Montreal Cognitive Assessment Functional Test (MOCA),MOCA: 03. Visuoconstructional Skills - Draw Clock Contour,FALSE,Integer,0 - 1,
MOCA.csv,moca04_visuoconstr_skills_clock_num,Montreal Cognitive Assessment Functional Test (MOCA),MOCA: 04. Visuoconstructional Skills - Draw Clock Numbers,FALSE,Integer,0 - 1,
MOCA.csv,moca05_visuoconstr_skills_clock_hands,Montreal Cognitive Assessment Functional Test (MOCA),MOCA: 05. Visuoconstructional Skills - Draw Clock Hands,FALSE,Integer,0 - 1,
MOCA.csv,moca_visuospatial_executive_subscore,Montreal Cognitive Assessment Functional Test (MOCA),MOCA: Visuospatial And Executive Subscore,FALSE,Integer,0 - 5,
MOCA.csv,moca06_naming_lion,Montreal Cognitive Assessment Functional Test (MOCA),MOCA: 06. Naming - Lion,FALSE,Integer,0 - 1,
MOCA.csv,moca07_naming_rhino,Montreal Cognitive Assessment Functional Test (MOCA),MOCA: 07. Naming - Rhino,FALSE,Integer,0 - 1,
MOCA.csv,moca08_naming_camel,Montreal Cognitive Assessment Functional Test (MOCA),MOCA: 08. Naming - Camel,FALSE,Integer,0 - 1,
MOCA.csv,moca_naming_subscore,Montreal Cognitive Assessment Functional Test (MOCA),MOCA: Naming Subscore,FALSE,Integer,0 - 3,
MOCA.csv,moca09_attention_forward_digit_span,Montreal Cognitive Assessment Functional Test (MOCA),MOCA: 09. Attention - Forward Digit Span,FALSE,Integer,0 - 1,
